slug,task_idx,task_text,importance,match_source,matched_workbank_task_id,matched_workbank_task,cosine_similarity,desire_mean,capability_mean,zone
absurd,0,Generate production-quality brand and performance video advertisements using AI agents,5,inferred,3242,,0.4371,3.5,2.5,Yellow
absurd,1,Orchestrate multi-agent pipelines to manage video production from concept to final cut,5,inferred,11370,,0.3339,4.0,2.5,Yellow
absurd,2,Develop creative concepts for video ad campaigns aligned with brand identity,4,inferred,3242,,0.5634,2.0,2.0,Low-Priority
absurd,3,Edit and refine video content to meet platform-specific performance standards,4,inferred,14719,,0.4721,3.0,2.5,Yellow
absurd,4,Coordinate iterative feedback cycles between AI systems and client teams during production,3,inferred,16212,,0.4891,3.0,2.5,Yellow
acolite,0,Process insurance submission emails and extract relevant data automatically without manual entry,5,inferred,16284,,0.5093,4.5,4.5,Green
acolite,1,Issue certificates of insurance on behalf of agents across any agency management system,5,inferred,23322,,0.5117,4.5,3.5,Green
acolite,2,Map statement of values documents to required formats automatically for underwriting submissions,5,inferred,3966,,0.4875,4.5,4.0,Green
acolite,3,Route completed insurance tasks back to agents after autonomous processing via email,3,inferred,23319,,0.4543,4.5,4.5,Green
acrely,0,Deploy voice agents to handle inbound customer service calls autonomously,5,inferred,11241,,0.3804,4.0,3.5,Green
acrely,1,Conduct outbound sales calls using AI voice agents at scale,5,inferred,4623,,0.3691,4.5,3.5,Green
acrely,2,Process natural language speech input to resolve customer inquiries,4,inferred,14713,,0.4776,4.0,4.0,Green
acrely,3,Integrate voice agents with enterprise systems for on-premises deployment,4,inferred,11241,,0.3748,4.0,3.0,Yellow
acrely,4,Route complex calls to human agents when AI confidence is insufficient,3,inferred,16151,,0.2878,4.0,4.0,Green
acx,0,Develop biological crop protection agents as alternatives to chemical pesticides,5,inferred,18278,,0.4667,0.38,0.18,Low-Priority
acx,1,Apply precision targeting to protect crops without harming surrounding ecosystems,5,inferred,18295,,0.4868,0.35,0.2,Low-Priority
acx,2,Formulate sustainable biocide products for commercial agricultural deployment,4,inferred,15457,,0.4247,0.35,0.15,Low-Priority
acx,3,Test efficacy of biological crop protection compounds against target pathogens,4,inferred,18278,,0.4351,0.32,0.22,Low-Priority
acx,4,Scale production of biological agricultural inputs for broad field application,3,inferred,18278,,0.5027,0.3,0.1,Low-Priority
adam,0,Convert natural language product descriptions into parametric CAD models automatically,5,inferred,22082,,0.4043,4.0,3.0,Yellow
adam,1,Generate engineering design iterations based on specified constraints and requirements,5,inferred,136,,0.5131,3.5,3.5,Green
adam,2,Modify parametric design features in response to engineering change requests,4,inferred,1482,,0.4971,4.0,3.5,Green
adam,3,Export production-ready CAD files compatible with downstream manufacturing tools,4,inferred,15890,,0.4446,4.5,4.0,Green
adam,4,Validate generated designs against engineering specifications and material constraints,3,inferred,20726,,0.5318,3.0,3.0,Yellow
adapted,0,Generate personalized prehabilitation exercise programs to reduce athlete injury risk,5,inferred,9736,,0.345,3.0,3.0,Yellow
adapted,1,Assess individual athlete movement patterns and physical vulnerabilities for prehab planning,4,inferred,16943,,0.361,2.0,2.5,Low-Priority
adapted,2,Track athlete adherence to prehab protocols and adjust programs based on progress,4,inferred,9736,,0.3834,3.5,3.0,Yellow
adapted,3,Provide sport-specific durability training guidance tailored to individual athlete profiles,5,inferred,101,,0.3874,2.5,3.0,Low-Priority
adapted,4,Monitor athlete physical readiness indicators to prevent overuse injuries proactively,3,inferred,98,,0.4345,3.5,3.0,Yellow
adaptional,0,Extract structured risk data from insurance submission files and attachments automatically,5,inferred,23319,,0.4343,4.5,4.0,Green
adaptional,1,Validate extracted submission data against public sources for accuracy and completeness,5,inferred,12956,,0.5855,4.0,3.5,Green
adaptional,2,Summarize submission risk profiles against underwriting guidelines for underwriter review,5,inferred,15414,,0.4759,4.0,4.0,Green
adaptional,3,Pre-screen insurance submissions to prioritize underwriter time on viable risks,4,inferred,23313,,0.4598,4.0,3.5,Green
adaptional,4,Flag data gaps or inconsistencies in submissions requiring underwriter clarification,3,inferred,5158,,0.4197,4.5,4.0,Green
adentris,0,Review medical documentation in real time to identify coding and billing errors,5,inferred,9416,,0.6039,4.0,3.5,Green
adentris,1,Flag clinical notes likely to trigger insurance claim denials before submission,5,inferred,9416,,0.5201,4.5,3.5,Green
adentris,2,Suggest corrections to physician documentation to meet payer requirements,5,inferred,9416,,0.5866,3.5,3.0,Yellow
adentris,3,Detect documentation patterns that create legal or malpractice liability risk,4,inferred,21447,,0.5962,4.0,3.0,Yellow
adentris,4,Integrate with EHR workflows to provide inline compliance feedback to clinicians,3,inferred,18088,,0.5096,4.0,3.0,Yellow
aedilic,0,Detect AI-generated images produced by diffusion models in submitted media files,5,inferred,301,,0.3974,4.0,4.0,Green
aedilic,1,Identify deepfake video or image manipulations using trained classification models,5,inferred,3905,,0.3753,4.0,3.5,Green
aedilic,2,Classify GAN-generated synthetic images across a range of generation architectures,4,inferred,301,,0.412,4.0,4.0,Green
aedilic,3,Generate confidence scores indicating probability that media is AI-synthesized,4,inferred,3484,,0.376,4.0,4.0,Green
aedilic,4,Provide open-source detection models for integration into third-party platforms,3,inferred,14655,,0.4247,3.5,3.5,Green
aegis,0,Automate insurance denial appeal preparation and submission for healthcare providers,5,inferred,23313,,0.5456,4.5,4.0,Green
aegis,1,Analyze denied claims to identify grounds for successful appeal,5,inferred,19052,,0.4545,3.5,3.5,Green
aegis,2,Track appeal status from intake through resolution in unified platform,4,inferred,9736,,0.3879,4.5,4.5,Green
aegis,3,Generate appeal letters with supporting clinical documentation automatically,4,inferred,16284,,0.4749,4.5,4.5,Green
aegis,4,Identify patterns in denial reasons to prevent future claim rejections,3,inferred,2581,,0.4115,4.0,4.0,Green
aether,0,Execute end-to-end sales workflows for home services companies without manual intervention,5,inferred,20608,,0.5355,4.0,3.5,Green
aether,1,Generate and send sales quotes to homeowner prospects for roofing and exterior services,5,inferred,11238,,0.4657,4.0,4.5,Green
aether,2,"Follow up with leads automatically via calls, texts, or email at optimal intervals",4,inferred,14713,,0.4691,4.5,4.5,Green
aether,3,Track sales pipeline stages and update deal status across customer accounts,4,inferred,2503,,0.4661,4.0,4.5,Green
aether,4,Consolidate fragmented sales tools into a unified platform for home services teams,3,inferred,4623,,0.4201,3.5,3.0,Yellow
affil-ai,0,Review creator-produced financial marketing content against regulatory compliance guidelines,5,inferred,18038,,0.6055,3.5,3.5,Green
affil-ai,1,Flag non-compliant claims or disclosures in credit card promotional content automatically,5,inferred,20620,,0.3927,4.5,4.0,Green
affil-ai,2,Match financial product advertisers with compliant creator partners for campaigns,4,inferred,16179,,0.4554,3.5,3.0,Yellow
affil-ai,3,Monitor published affiliate content for ongoing regulatory compliance post-launch,3,inferred,18037,,0.4288,4.0,3.5,Green
aftercare,0,Generate intelligent follow-up questions based on open-ended survey response content,5,inferred,14713,,0.3931,4.0,4.5,Green
aftercare,1,Conduct adaptive interview-style surveys that probe respondent answers in depth,5,inferred,9752,,0.4268,3.5,4.0,Green
aftercare,2,Synthesize qualitative survey responses into structured themes and insights,4,inferred,8961,,0.4112,4.0,4.0,Green
aftercare,3,Distribute conversational surveys across respondent populations at scale,3,inferred,15728,,0.4393,4.5,4.5,Green
aftercare,4,Surface unexpected insights from survey data that fixed-question formats would miss,4,inferred,5158,,0.3617,3.5,3.5,Green
afternoon-co,0,Automate bookkeeping by integrating with sales channels and inventory management systems,5,inferred,1151,,0.581,4.5,4.0,Green
afternoon-co,1,Categorize and reconcile financial transactions for ecommerce and startup businesses,5,inferred,2503,,0.6048,4.5,4.5,Green
afternoon-co,2,Prepare and file tax returns including sales tax across multiple jurisdictions,4,inferred,7359,,0.5323,4.5,3.5,Green
afternoon-co,3,Generate real-time financial metrics and dashboards for founder decision-making,4,inferred,16150,,0.5083,4.0,4.0,Green
afternoon-co,4,Manage multi-channel sales tax compliance across ecommerce platforms and states,3,inferred,1035,,0.4259,4.5,4.0,Green
afterquery,0,Design and produce novel datasets to probe the boundaries of AI model capabilities,5,inferred,979,,0.349,2.0,2.0,Low-Priority
afterquery,1,Conduct empirical experiments to evaluate AI system behavior in edge-case and adversarial conditions,5,inferred,14655,,0.2672,2.5,2.0,Low-Priority
afterquery,2,Curate high-quality human-labeled data to support AI capabilities research and benchmarking,4,inferred,20319,,0.3366,3.5,2.5,Yellow
afterquery,3,Publish research findings on AI capability frontiers to advance scientific understanding,3,inferred,93,,0.4402,1.5,2.0,Low-Priority
agenthub-2,0,Simulate real-world user scenarios to evaluate AI agent behavior before deployment,5,inferred,14638,,0.3681,3.5,3.5,Green
agenthub-2,1,Trace agent execution paths to identify failure modes and logic errors,5,inferred,1283,,0.4836,3.0,3.0,Yellow
agenthub-2,2,Generate annotated training datasets to improve AI agent decision-making accuracy,4,inferred,102,,0.3352,4.0,3.5,Green
agenthub-2,3,"Benchmark agent performance across prompt, model, and configuration variations",4,inferred,14719,,0.4099,4.5,4.5,Green
agenthub-2,4,Visualize agent decision flows to surface underperforming reasoning steps,4,inferred,22082,,0.3346,3.5,3.5,Green
agenthub-2,5,Run reinforcement learning environments to iteratively train and refine agent policies,3,inferred,102,,0.3518,4.0,3.5,Green
agentic-fabriq,0,Manage data permissions for AI agents and employees across the entire organization,5,inferred,23320,,0.4147,4.0,3.5,Green
agentic-fabriq,1,Provision AI agents with exactly the tools and data each employee is authorized to use,5,inferred,3590,,0.4379,4.0,3.5,Green
agentic-fabriq,2,Authenticate users and agents securely before granting access to integrated systems,5,inferred,966,,0.3381,4.5,4.0,Green
agentic-fabriq,3,Integrate third-party tools and data sources under centralized permission management,4,inferred,5319,,0.5123,4.0,3.5,Green
agentic-fabriq,4,Enforce role-based access controls for external customer-facing AI agent deployments,3,inferred,5317,,0.3613,4.0,3.5,Green
agentic-labs-2,0,Connect to codebases to extract context for technical design documents,5,inferred,16209,,0.4423,4.0,4.0,Green
agentic-labs-2,1,Draft technical design documents from natural language engineering prompts,5,inferred,16209,,0.5786,4.0,4.0,Green
agentic-labs-2,2,Analyze proposed code changes to assess system architecture impact,4,inferred,21920,,0.5528,3.5,3.5,Green
agentic-labs-2,3,Assist engineers in planning and scoping complex software implementation tasks,4,inferred,14672,,0.5526,3.0,3.5,Green
agentic-labs-2,4,Maintain and version technical documentation alongside codebase changes,3,inferred,3967,,0.5876,4.5,4.5,Green
agentin-ai,0,"Move data between enterprise systems such as Salesforce, NetSuite, and SAP automatically",5,inferred,15883,,0.4648,4.5,4.0,Green
agentin-ai,1,Execute multi-step actions within enterprise software using AI agents trained on system schemas,5,inferred,1277,,0.3849,4.0,3.0,Yellow
agentin-ai,2,Adapt agent behavior to heavily customized enterprise system configurations through reinforcement learning,5,inferred,20474,,0.3091,3.5,2.5,Yellow
agentin-ai,3,Recover from failed automation tasks by learning from errors and retrying with corrected logic,4,inferred,1283,,0.4575,4.0,3.0,Yellow
agentin-ai,4,Automate data entry and record synchronization workflows across connected enterprise platforms,4,inferred,1287,,0.4966,4.5,4.0,Green
agentmail,0,Provision dedicated email inboxes for AI agents via API,5,inferred,14713,,0.3603,4.5,5.0,Green
agentmail,1,Send and receive emails programmatically on behalf of AI agent workflows,5,inferred,2813,,0.4062,4.5,5.0,Green
agentmail,2,Parse and deliver incoming email content to AI agents in structured format,4,inferred,14713,,0.3963,4.5,4.5,Green
agentmail,3,Manage email threading and conversation state for multi-turn agent interactions,3,inferred,14713,,0.4209,4.0,4.0,Green
ai-2,0,Research and organize prior art evidence for patent litigation cases,5,inferred,19051,,0.5589,4.0,3.5,Green
ai-2,1,Draft trial-ready legal work product for patent attorneys at pitch speed,5,inferred,21079,,0.4779,3.5,3.0,Yellow
ai-2,2,Enable collaborative review and editing of patent litigation documents across teams,4,inferred,15608,,0.4475,3.0,3.5,Green
ai-2,3,Analyze patent claims and map them to relevant technical evidence,4,inferred,7277,,0.4232,3.5,3.0,Yellow
ai-2,4,Prepare structured case summaries suitable for courtroom use,3,inferred,23281,,0.6071,4.0,3.5,Green
aidy,0,"Log patient-reported symptoms, diet, and medication adherence over time",5,inferred,16262,,0.4069,4.0,4.5,Green
aidy,1,Calculate validated clinical disease severity indices from logged data,5,inferred,16283,,0.5805,4.5,4.5,Green
aidy,2,Identify correlations between dietary patterns and symptom flares,5,inferred,16262,,0.3522,4.0,3.5,Green
aidy,3,Track treatment adherence and measure impact on disease progression,4,inferred,16262,,0.4035,4.0,4.0,Green
aidy,4,Visualize longitudinal health trends to share with clinical care teams,4,inferred,16252,,0.534,4.0,4.5,Green
aidy,5,Send reminders to patients for medication and symptom logging,3,inferred,786,,0.541,5.0,5.0,Green
aircaps,0,Transcribe spoken conversations in real time and display captions on AR glasses,5,inferred,20560,,0.3975,4.5,4.5,Green
aircaps,1,Translate in-person speech across languages and overlay translations in the visual field,5,inferred,22655,,0.3712,4.5,4.0,Green
aircaps,2,Generate structured meeting notes and summaries from live in-person conversations,4,inferred,20284,,0.5362,4.5,4.5,Green
aircaps,3,Provide proactive contextual insights and prompts during face-to-face interactions,4,inferred,23274,,0.3868,3.0,3.0,Yellow
aircaps,4,Identify speakers and attribute dialogue segments within multi-party conversations,3,inferred,22655,,0.3975,4.0,4.0,Green
airweave,0,Connect to productivity tools and databases to index content for AI agents,5,inferred,23320,,0.4242,4.0,4.5,Green
airweave,1,Transform application and document store contents into searchable knowledge bases,5,inferred,16135,,0.5128,4.0,4.5,Green
airweave,2,Retrieve relevant context from external sources in response to agent queries,5,inferred,22420,,0.4196,4.5,5.0,Green
airweave,3,Synchronize knowledge bases as connected data sources are updated,4,inferred,1287,,0.424,4.5,4.5,Green
airweave,4,Normalize and embed content from diverse sources into unified retrieval index,3,inferred,22420,,0.3451,4.5,4.5,Green
alai,0,Generate first-draft presentation decks from user-provided context and content inputs,5,inferred,16211,,0.4634,4.0,4.5,Green
alai,1,Produce multiple slide design variants for each section to support rapid iteration,4,inferred,20488,,0.4395,4.0,4.0,Green
alai,2,Enable collaborative human-AI editing of presentation slides on a responsive canvas,4,inferred,9352,,0.3899,3.5,3.5,Green
alai,3,Apply consistent visual design and formatting across all slides in a presentation,3,inferred,22631,,0.5449,4.5,4.5,Green
alai,4,Incorporate user data and context into visually polished presentation outputs,4,inferred,21937,,0.4657,4.0,4.0,Green
alara,0,Aggregate product listings from multiple dental suppliers into a unified catalog,5,inferred,1021,,0.4004,4.5,4.5,Green
alara,1,Compare real-time prices across vendors to identify lowest-cost supply options,5,inferred,1144,,0.4871,4.5,4.5,Green
alara,2,Process multi-vendor purchase orders through a single consolidated cart,4,inferred,15700,,0.4251,4.5,4.0,Green
alara,3,Track dental office supply spending to identify cost-reduction opportunities,3,inferred,21315,,0.5383,4.0,4.5,Green
albacore-inc,0,Navigate autonomous underwater vehicles along long-range maritime patrol routes,5,inferred,15889,,0.3526,4.5,3.5,Green
albacore-inc,1,Conduct underwater sensing missions to gather maritime domain awareness data,5,inferred,15889,,0.4075,4.5,3.5,Green
albacore-inc,2,Deliver precision effects against designated maritime targets with guided accuracy,5,inferred,15889,,0.2856,4.0,3.0,Yellow
albacore-inc,3,Launch and deploy undersea drone systems from land-based positions within minutes,4,inferred,15889,,0.2879,4.5,3.0,Yellow
albacore-inc,4,Operate autonomously in littoral environments to deter or interdict hostile maritime activity,4,inferred,15889,,0.3938,4.5,3.0,Yellow
aleph-lab,0,Conduct real-time language conversations with children inside video game environments,5,inferred,16200,,0.6015,3.0,3.5,Green
aleph-lab,1,Adapt language instruction difficulty dynamically to individual child proficiency levels,5,inferred,5663,,0.3311,3.0,3.5,Green
aleph-lab,2,Engage children in foreign language practice through interactive in-game activities,4,inferred,16200,,0.474,3.0,3.5,Green
aleph-lab,3,Track language learning progress and provide feedback within gameplay sessions,3,inferred,16200,,0.4779,4.0,4.0,Green
alex,0,Answer developer questions and explain Swift and iOS code inline within Xcode,5,inferred,1269,,0.4233,3.5,4.0,Green
alex,1,Generate and insert code snippets into Xcode projects via natural language prompts,5,inferred,1269,,0.4562,3.5,4.0,Green
alex,2,Apply AI-suggested code edits directly to open Xcode source files,4,inferred,1269,,0.3289,3.5,4.0,Green
alex,3,Assist with debugging by analyzing error messages and suggesting targeted fixes,4,inferred,14643,,0.5987,3.5,3.5,Green
alex,4,Provide contextual code completions without requiring a browser context switch,3,inferred,14707,,0.3741,3.5,4.5,Green
alex-com,0,Conduct structured video interviews with job candidates using natural language conversation,5,inferred,18860,,0.3971,3.0,3.5,Green
alex-com,1,Ask personalized follow-up questions in real time based on candidate responses,5,inferred,14713,,0.4235,2.5,3.5,Red
alex-com,2,Score and rank candidates based on interview performance against role requirements,5,inferred,1002,,0.4194,3.5,3.5,Green
alex-com,3,Generate interview summary reports to help hiring teams compare applicants efficiently,4,inferred,18853,,0.5115,4.0,4.5,Green
alex-com,4,Configure interview question sets based on job descriptions for specific roles,3,inferred,18860,,0.4248,4.0,4.5,Green
alice-tech,0,Transform generic course materials into personalized study guides and practice questions,5,inferred,20475,,0.5274,4.0,4.5,Green
alice-tech,1,Generate exam practice questions calibrated to a student's demonstrated knowledge gaps,5,inferred,14758,,0.4014,4.5,4.5,Green
alice-tech,2,Adapt learning content difficulty and format to individual student performance in real time,4,inferred,101,,0.4166,3.5,4.0,Green
alice-tech,3,Provide detailed explanations and worked examples for incorrect student responses,4,inferred,5663,,0.5424,3.5,4.5,Green
alice-tech,4,Track student exam readiness and predict performance based on practice session data,3,inferred,101,,0.4903,4.0,4.0,Green
alkali,0,Identify design errors in chemical process engineering plans before construction begins,5,inferred,1477,,0.5703,3.0,3.0,Yellow
alkali,1,Recommend appropriate equipment selections based on chemical process design specifications,5,inferred,147,,0.5234,3.5,3.0,Yellow
alkali,2,Accelerate chemical project design workflows through AI-assisted engineering copilot tooling,4,inferred,136,,0.4414,3.5,3.5,Green
alkali,3,"Validate chemical process designs against safety, compliance, and performance constraints",4,inferred,20735,,0.5186,3.0,3.0,Yellow
allus-ai,0,Detect manufacturing defects in real time using computer vision on production lines,5,inferred,15424,,0.4454,5.0,4.0,Green
allus-ai,1,Analyze visual production data to identify quality issues and process inefficiencies,5,inferred,3580,,0.6154,3.5,3.5,Green
allus-ai,2,Monitor factory floor operations continuously to flag anomalies in production,4,inferred,14675,,0.5742,4.5,3.5,Green
allus-ai,3,Generate actionable insights from visual production data to improve manufacturing yield,4,inferred,2817,,0.5707,3.5,3.5,Green
almond-2,0,Execute precise industrial manipulation tasks using 7-degree-of-freedom robotic arms,5,inferred,21917,,0.3707,3.5,2.5,Yellow
almond-2,1,Assemble robotic arm components using automated robotic manufacturing processes,4,inferred,20737,,0.4191,4.0,2.5,Yellow
almond-2,2,"Perform high-dexterity pick, place, and assembly operations in industrial environments",5,inferred,2825,,0.4893,4.0,2.5,Yellow
almond-2,3,Integrate with AI control systems for adaptive task execution on the factory floor,4,inferred,19648,,0.4621,3.5,3.0,Yellow
alt-x,0,"Extract key financial metrics from unstructured deal documents, CIMs, and PDFs automatically",5,inferred,12904,,0.4907,4.5,4.0,Green
alt-x,1,Generate institutional-grade Excel financial models from raw private-market deal materials,5,inferred,2489,,0.4749,4.0,3.0,Yellow
alt-x,2,"Map extracted KPIs such as ARR, NOI, and IRR directly into structured spreadsheet templates",5,inferred,2517,,0.3656,4.5,3.5,Green
alt-x,3,Produce sensitivity analyses and investor committee outputs from populated financial models,4,inferred,15988,,0.4572,4.0,3.0,Yellow
alt-x,4,Detect data inconsistencies and formula errors within Excel underwriting models,3,inferred,11403,,0.4817,4.5,4.0,Green
alter,0,Authenticate every AI agent tool call using zero-trust identity verification,5,inferred,11403,,0.2543,4.5,3.5,Green
alter,1,Authorize agent actions against fine-grained policies before execution occurs,5,inferred,23205,,0.3138,4.0,3.0,Yellow
alter,2,Issue ephemeral scoped credentials for each AI agent interaction and rotate them,5,inferred,23322,,0.2631,4.5,3.5,Green
alter,3,Block unsafe agent operations such as destructive database commands in real time,4,inferred,5314,,0.4451,4.5,3.5,Green
alter,4,Produce audit logs of all agent tool calls for compliance and security review,4,inferred,14723,,0.5269,4.5,4.5,Green
alter,5,Enforce least-privilege access by scoping agent permissions to minimum required,3,inferred,9735,,0.2899,4.0,3.5,Green
altrina,0,Parse and digitize standard operating procedures from documents into executable workflows,5,inferred,1276,,0.5124,4.0,3.5,Green
altrina,1,Execute multi-step SOP workflows automatically without human intervention,5,inferred,1276,,0.3696,4.0,3.0,Yellow
altrina,2,Route tasks and approvals between departments according to defined procedural logic,4,inferred,2705,,0.4328,4.0,3.5,Green
altrina,3,Monitor SOP compliance and flag deviations from established process steps,4,inferred,18032,,0.4899,4.0,3.5,Green
altrina,4,Generate audit trails and activity logs for completed automated procedures,3,inferred,11406,,0.6419,4.5,4.5,Green
altur,0,Conduct outbound voice calls to debtors to initiate debt repayment conversations,5,inferred,18935,,0.4774,4.0,4.0,Green
altur,1,Negotiate payment plans and settlements with debtors through automated voice dialogue,5,inferred,9751,,0.5073,3.5,3.0,Yellow
altur,2,Handle inbound debtor calls to answer balance inquiries and process payments,4,inferred,9751,,0.5002,4.0,4.5,Green
altur,3,Maintain regulatory compliance across voice-based debt collection interactions automatically,4,inferred,20168,,0.4428,4.5,3.5,Green
aluna,0,Curate and label clinical datasets for training and evaluating biomedical AI models,5,inferred,16795,,0.4605,3.5,3.0,Yellow
aluna,1,Design evaluation benchmarks to assess health AI model performance in oncology contexts,5,inferred,18088,,0.3906,2.5,2.5,Low-Priority
aluna,2,Aggregate and harmonize health organization data into AI-ready training corpora,4,inferred,9421,,0.3789,4.5,3.5,Green
aluna,3,Validate dataset quality and clinical relevance to ensure AI training reliability,4,inferred,12956,,0.4641,3.5,3.0,Yellow
ambral,0,Synthesize customer activity signals into AI-powered account health models,5,inferred,23322,,0.3936,4.0,4.0,Green
ambral,1,Identify at-risk accounts and expansion opportunities requiring proactive outreach,5,inferred,16151,,0.5016,4.0,3.5,Green
ambral,2,Trigger and execute next-best-action interventions autonomously to prevent customer churn,4,inferred,22417,,0.4201,3.5,3.0,Yellow
ambral,3,Aggregate customer interaction history across channels into unified account views,4,inferred,2578,,0.3987,4.5,4.0,Green
ambral,4,Prioritize account manager attention by surfacing accounts most in need of contact,3,inferred,2494,,0.4301,4.0,4.0,Green
amby-health,0,Analyze EMS patient care reports to assign accurate medical billing codes,5,inferred,9416,,0.5224,4.0,4.0,Green
amby-health,1,Submit ambulance transport claims to insurers and government payers for reimbursement,5,inferred,737,,0.5071,4.5,4.0,Green
amby-health,2,Review patient care documentation to identify clinical quality and liability risks,4,inferred,15414,,0.6415,2.5,3.0,Low-Priority
amby-health,3,Flag documentation errors and compliance gaps before claim submission,4,inferred,23315,,0.4718,4.0,4.0,Green
amby-health,4,Generate billing performance reports tracking reimbursement rates and denial patterns,3,inferred,2583,,0.5171,4.5,4.5,Green
amera,0,"Extract structured claim data from unstructured PDFs, bills, receipts, and EDI submissions",5,inferred,23315,,0.5119,4.5,4.5,Green
amera,1,Classify and normalize insurance claim inputs into formats compatible with payer systems,5,inferred,23319,,0.5469,4.5,4.5,Green
amera,2,Route processed claims into existing adjudication and payment workflows automatically,4,inferred,23316,,0.4794,4.5,4.0,Green
amera,3,Identify and resolve claim exceptions to reduce manual review queues for billing staff,4,inferred,2579,,0.543,4.0,3.5,Green
amera,4,Validate claim data against payer rules to catch errors before system submission,4,inferred,11403,,0.539,4.5,4.5,Green
aminoanalytica,0,Design novel protein sequences to achieve specified functional properties on demand,5,inferred,16788,,0.4108,3.0,3.5,Green
aminoanalytica,1,Simulate protein folding and docking to predict structural and binding behavior,5,inferred,16814,,0.3863,3.5,4.0,Green
aminoanalytica,2,Automate end-to-end protein engineering workflows from research to characterization,5,inferred,16814,,0.5589,3.5,2.5,Yellow
aminoanalytica,3,Screen and rank candidate protein designs based on predicted performance criteria,4,inferred,16814,,0.4974,4.0,3.5,Green
aminoanalytica,4,Analyze experimental protein results within project context to guide next design iteration,4,inferred,16814,,0.6449,3.0,3.0,Yellow
anara,0,Search and retrieve relevant scientific literature from large academic paper databases,5,inferred,22522,,0.4084,4.5,4.5,Green
anara,1,Summarize and explain scientific documents to accelerate researcher comprehension,5,inferred,22648,,0.4801,4.0,4.5,Green
anara,2,Assist researchers in drafting and editing scientific manuscripts and reports,4,inferred,1786,,0.6294,3.0,4.0,Green
anara,3,Identify connections between research papers to support literature review workflows,4,inferred,14744,,0.5051,4.0,4.0,Green
