slug,task_idx,task_text,importance,batch_idx,extraction_timestamp,knn_desire,knn_capability,knn_zone,knn_max_cosine,knn_mean_top5_cosine,knn_top1_workbank_task_id,knn_top1_workbank_task
riveter-ai,0,Search and extract structured data from web pages at scale via API,5,0,2026-04-24T17:36:45.246329+00:00,3.008481139147705,3.9393404741316362,Green,0.36913034,0.34001788,2820,"Position text and art elements from a variety of databases in a visually appealing way to design print or web pages, using knowledge of type styles and size and layout patterns."
riveter-ai,1,"Scrape and parse PDFs, images, and dynamic web content for data extraction",5,0,2026-04-24T17:36:45.246329+00:00,2.802074746355108,3.5240932190961276,Red,0.37407696,0.3451338,14749,"Track, compile, and analyze Web site usage data."
riveter-ai,2,Enrich internal datasets by combining web data with third-party sources,4,0,2026-04-24T17:36:45.246329+00:00,3.1824914205538932,3.973577508818505,Green,0.5089654,0.43233085,20319,Combine secondary data sources with keyword research to more accurately profile and satisfy user intent.
riveter-ai,3,Build and deploy custom data APIs for repeated programmatic web queries,4,0,2026-04-24T17:36:45.246329+00:00,3.1030089574836284,3.6196777648373204,Green,0.40878174,0.31073567,16280,"Generate data queries, based on validation checks or errors and omissions identified during data entry, to resolve identified problems."
riveter-ai,4,Automate competitor pricing and product specification monitoring at scale,3,0,2026-04-24T17:36:45.246329+00:00,2.766527491832027,3.7220115390832884,Red,0.5025384,0.46458125,20846,Collect historical cost data to estimate costs for current or future products.
riveter-ai,5,Collect KYB and KYC data from public sources to assess customer risk profiles,3,0,2026-04-24T17:36:45.246329+00:00,3.177619265455377,4.053992404590184,Green,0.50238055,0.4684743,16136,"Identify or monitor current and potential customers, using business intelligence tools."
galini,0,Filter harmful or non-compliant inputs to AI applications at runtime,5,0,2026-04-24T17:36:45.246329+00:00,3.4255683135642725,3.2094325438982576,Yellow,0.3369682,0.30638275,14654,Monitor program performance to ensure efficient and problem-free operations.
galini,1,Evaluate AI model outputs against company policies and regulatory requirements,5,0,2026-04-24T17:36:45.246329+00:00,3.169918381763745,3.30351740473934,Yellow,0.5073677,0.4335087,18032,Monitor emerging trends regarding industry regulations to determine potential impacts on organizational processes.
galini,2,Deploy and manage compliance guardrails across enterprise AI applications,4,0,2026-04-24T17:36:45.246329+00:00,3.1250265871063294,3.3141680710037202,Yellow,0.45060968,0.37658492,14658,"Identify program deviance from standards, and suggest modifications to ensure compliance."
galini,3,Test guardrail configurations against edge cases before production deployment,4,0,2026-04-24T17:36:45.246329+00:00,3.4770483688546054,3.549254627872048,Green,0.36586335,0.3464137,14639,Test system modifications to prepare for implementation.
galini,4,Generate audit logs documenting AI input and output compliance decisions,3,0,2026-04-24T17:36:45.246329+00:00,3.1392439346845706,4.1355115368667095,Green,0.4984837,0.43989772,14723,Monitor security system performance logs to identify problems and notify security specialists when problems occur.
avora,0,Transcribe and analyze dental appointment conversations to identify coaching opportunities,5,0,2026-04-24T17:36:45.246329+00:00,3.4934890037044006,4.207774066716906,Green,0.48610535,0.47051543,21165,Schedule appointments with clients.
avora,1,Automatically generate clinical chart notes from recorded provider appointments,5,0,2026-04-24T17:36:45.246329+00:00,3.312959829691135,3.994844669697138,Green,0.62775964,0.5514192,776,"Compile and record medical charts, reports, or correspondence, using typewriter or personal computer."
avora,2,Identify patient interactions most likely to improve case acceptance rates,4,0,2026-04-24T17:36:45.246329+00:00,3.4267734811063364,3.1295459890025747,Yellow,0.4067192,0.38621002,18088,"Design, develop, select, test, implement, and evaluate new or modified informatics solutions, data structures, and decision-support mechanisms to support patients, health care professionals, and their information management and human-computer and human-technology interactions within health care contexts."
avora,3,Deliver structured coaching feedback to dental providers based on appointment analysis,4,0,2026-04-24T17:36:45.246329+00:00,3.4838059804531185,4.225962309703321,Green,0.54215044,0.49362674,2801,"Schedule and confirm appointments for clients, customers, or supervisors."
avora,4,Track provider performance metrics across clinical excellence dimensions over time,3,0,2026-04-24T17:36:45.246329+00:00,3.6367345407345657,3.7521554688010563,Green,0.48969647,0.45918733,15424,"Direct the tracking of defects, test results, or other regularly reported quality control data."
telli,0,Conduct outbound phone calls to leads using AI voice agents autonomously,5,0,2026-04-24T17:36:45.246329+00:00,3.177835617449752,3.3886617958451972,Yellow,0.332426,0.27636635,19010,Provide telephone support related to networking or connectivity issues.
telli,1,Qualify leads by gathering pre-screening information through conversational voice interaction,5,0,2026-04-24T17:36:45.246329+00:00,3.225993490881526,3.5222209455125593,Green,0.41793466,0.38775432,4622,"Record names, addresses, purchases, and reactions of prospects contacted."
telli,2,Convert qualified leads into sales opportunities by scheduling follow-up appointments,4,0,2026-04-24T17:36:45.246329+00:00,3.4124311090241255,4.414597852131126,Green,0.6613356,0.55262023,4628,Schedule appointments for sales representatives to meet with prospective customers or for customers to attend sales presentations.
telli,3,Adapt conversation scripts dynamically based on prospect responses and intent signals,4,0,2026-04-24T17:36:45.246329+00:00,2.792539148772877,4.410751860772633,Red,0.41254598,0.38738143,22655,Vary language and tone of messages based on product and medium.
telli,4,Log call outcomes and lead qualification data into CRM systems automatically,3,0,2026-04-24T17:36:45.246329+00:00,2.8819037165172627,4.2971802095940514,Red,0.4171546,0.404545,15883,Enter logistics-related data into databases.
symphony,0,Simulate realistic customer interactions for employee training using AI voice agents,5,0,2026-04-24T17:36:45.246329+00:00,3.2279829754422713,3.6330702486364186,Green,0.3548532,0.3482041,2806,"Provide services to customers, such as order placement or account information."
symphony,1,Generate customizable training scenarios based on real-world job situations,5,0,2026-04-24T17:36:45.246329+00:00,3.342414256616172,3.1262091314336824,Yellow,0.52003855,0.43837762,19559,"Evaluate modes of training delivery, such as in-person or virtual, to optimize training effectiveness, training costs, or environmental impacts."
symphony,2,Evaluate trainee performance during simulated interactions and provide feedback,4,0,2026-04-24T17:36:45.246329+00:00,2.9882258684143816,2.8390875480344007,Low-Priority,0.5510546,0.46467012,19559,"Evaluate modes of training delivery, such as in-person or virtual, to optimize training effectiveness, training costs, or environmental impacts."
symphony,3,Track employee training progress and skill development over time,3,0,2026-04-24T17:36:45.246329+00:00,3.4194227660712464,4.072099880711998,Green,0.5633269,0.5174983,993,"Maintain records and compile statistical reports concerning personnel-related data such as hires, transfers, performance appraisals, and absenteeism rates."
symphony,4,Scale training delivery across large employee cohorts without additional instructors,4,0,2026-04-24T17:36:45.246329+00:00,3.204117102830658,2.8989317095864258,Yellow,0.53088474,0.46236724,19559,"Evaluate modes of training delivery, such as in-person or virtual, to optimize training effectiveness, training costs, or environmental impacts."
streamable,0,Monitor live streaming sessions to detect technical issues in real time,5,0,2026-04-24T17:36:45.246329+00:00,3.563152319536397,3.4470768476373608,Yellow,0.5037841,0.47016907,14675,Monitor system operation to detect potential problems.
streamable,1,"Diagnose and alert streamers to network, audio, or video quality problems",5,0,2026-04-24T17:36:45.246329+00:00,3.130796176113977,3.105928492062578,Yellow,0.4543774,0.4467865,3896,Monitor broadcasts to ensure that programs conform to station or network policies and regulations.
streamable,2,Provide automated recommendations to resolve streaming configuration issues,4,0,2026-04-24T17:36:45.246329+00:00,3.5191036464808847,3.6422226751792492,Green,0.52338105,0.42249185,1323,"Recommend changes to improve systems and network configurations, and determine hardware or software requirements related to such changes."
streamable,3,Log stream performance metrics for post-session analysis and troubleshooting,3,0,2026-04-24T17:36:45.246329+00:00,3.441906998886196,3.578958169613468,Green,0.50758296,0.40581092,14723,Monitor security system performance logs to identify problems and notify security specialists when problems occur.
crouton,0,"Maintain a live organizational map of people, teams, roles, and ownership",5,0,2026-04-24T17:36:45.246329+00:00,3.24603534339727,3.6922378250572625,Green,0.40076035,0.37389857,16212,"Create and manage documentation, production schedules, prototyping goals, and communication plans in collaboration with production staff."
crouton,1,"Sync organizational data from Notion, Slack, spreadsheets, and other sources automatically",5,0,2026-04-24T17:36:45.246329+00:00,2.927517657445556,3.4092584081090984,Low-Priority,0.4479185,0.42937756,23320,"Organize or work with detailed office or warehouse records, using computers to enter, access, search or retrieve data."
crouton,2,Visualize reporting structures and cross-functional ownership across the organization,4,0,2026-04-24T17:36:45.246329+00:00,3.1943018774097216,3.0757475601852104,Yellow,0.5629125,0.50394017,16150,"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders."
crouton,3,Update organizational charts automatically when personnel or structural changes occur,4,0,2026-04-24T17:36:45.246329+00:00,2.825258435003278,4.048567930321813,Red,0.4539143,0.4098032,972,Review and approve all systems charts and programs prior to their implementation.
crouton,4,Surface answers to questions about team structure and role ownership on demand,3,0,2026-04-24T17:36:45.246329+00:00,2.8464065964355725,2.3102507758516264,Low-Priority,0.3874044,0.36654904,16212,"Create and manage documentation, production schedules, prototyping goals, and communication plans in collaboration with production staff."
durate,0,Generate optimized physician schedules automatically based on coverage requirements and preferences,5,0,2026-04-24T17:36:45.246329+00:00,3.5922255421398774,3.234475554473811,Yellow,0.5255304,0.47469682,20438,"Schedule tests or procedures for patients, such as lab work or x-rays, based on physician orders."
durate,1,Identify and resolve scheduling coverage gaps across physician groups and clinics,5,0,2026-04-24T17:36:45.246329+00:00,3.4973260963803736,3.299703586010342,Yellow,0.50005835,0.4735403,20438,"Schedule tests or procedures for patients, such as lab work or x-rays, based on physician orders."
durate,2,Sync physician schedules with existing hospital and clinic management systems,4,0,2026-04-24T17:36:45.246329+00:00,3.2871633873696924,3.2840814665473035,Yellow,0.57625824,0.54473674,15612,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols."
durate,3,"Apply scheduling rules and constraints to produce compliant, personalized physician timetables",4,0,2026-04-24T17:36:45.246329+00:00,3.3186234822002154,3.6407151379200156,Green,0.61247516,0.5595063,15612,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols."
durate,4,Notify administrators of scheduling conflicts or unfilled coverage slots in advance,3,0,2026-04-24T17:36:45.246329+00:00,3.1698008779299998,3.505598021555291,Green,0.4729205,0.4166792,2800,Maintain scheduling and event calendars.
gait,0,Display the prompts that generated specific blocks of AI-written code in editors,5,0,2026-04-24T17:36:45.246329+00:00,2.8062357916154985,3.1221489480715743,Low-Priority,0.43269145,0.39132318,1269,"Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program."
gait,1,Enable developers to resume and extend prior AI coding conversation contexts,5,0,2026-04-24T17:36:45.246329+00:00,2.8175654387119162,3.4132543327316704,Low-Priority,0.39793324,0.3328107,16200,Write or supervise the writing of game text and dialogue.
gait,2,Track and report analytics on AI code generation usage patterns across teams,4,0,2026-04-24T17:36:45.246329+00:00,3.6201667825897115,4.233122525411695,Green,0.44910142,0.4258848,14749,"Track, compile, and analyze Web site usage data."
gait,3,Attribute AI-generated code to originating prompts and conversation sessions,4,0,2026-04-24T17:36:45.246329+00:00,2.550505763370453,3.4287408713176726,Low-Priority,0.38238966,0.35303167,16200,Write or supervise the writing of game text and dialogue.
gait,4,Share AI coding session history with teammates for collaborative code review,3,0,2026-04-24T17:36:45.246329+00:00,3.1697210110117915,3.39088442760724,Yellow,0.4118182,0.34954983,1269,"Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program."
moonset-health,0,"Automate clinical documentation for hospice, home health, and skilled nursing providers",5,0,2026-04-24T17:36:45.246329+00:00,2.952909576418791,3.4917579429642105,Low-Priority,0.53215957,0.5000254,20243,Develop or maintain online help documentation.
moonset-health,1,Streamline care plan creation and updates for post-acute patient populations,5,0,2026-04-24T17:36:45.246329+00:00,2.8490146651247623,2.8359645133590763,Low-Priority,0.4222396,0.38724548,18088,"Design, develop, select, test, implement, and evaluate new or modified informatics solutions, data structures, and decision-support mechanisms to support patients, health care professionals, and their information management and human-computer and human-technology interactions within health care contexts."
moonset-health,2,Extract and structure patient data from post-acute clinical records and notes,4,0,2026-04-24T17:36:45.246329+00:00,3.5152955497579743,3.2722387312512295,Yellow,0.57866764,0.55302113,16252,Prepare tables and graphs to present clinical data or results.
moonset-health,3,Support billing and coding workflows for post-acute care service reimbursement,3,0,2026-04-24T17:36:45.246329+00:00,3.1705676304668415,3.911478541817993,Green,0.50678056,0.486444,2583,"Determine charges for services requested, collect deposits or payments, or arrange for billing."
candle,0,Deliver daily relationship prompts and games to encourage meaningful partner conversations,5,0,2026-04-24T17:36:45.246329+00:00,2.537596224134731,2.820711422957583,Low-Priority,0.41960108,0.3757723,16198,Provide feedback to designers and other colleagues regarding game design features.
candle,1,Adapt question and activity decks based on relationship history and engagement patterns,4,0,2026-04-24T17:36:45.246329+00:00,3.0168746518244207,3.9576204697055726,Green,0.36181775,0.31199622,23274,Prepare meeting agendas or packets of related information.
candle,2,Surface curated local date ideas matched to couple preferences and location,4,0,2026-04-24T17:36:45.246329+00:00,3.1372426572161043,3.4714741062599996,Yellow,0.3462588,0.31895226,11404,Store completed documents in appropriate locations.
candle,3,Track shared activity streaks to build relationship engagement accountability over time,3,0,2026-04-24T17:36:45.246329+00:00,3.0253076344408463,3.6172235105797004,Green,0.42723554,0.37312478,16157,Monitor or track project milestones and deliverables.
candle,4,Store and organize shared photos and relationship memories in a private album,3,0,2026-04-24T17:36:45.246329+00:00,3.3650563972552883,4.0396370310742435,Green,0.4464681,0.38088822,17239,Review or transmit images and information using picture archiving or communications systems.
candle,5,Enable real-time shared canvas messages and drawings on partner home screens,2,0,2026-04-24T17:36:45.246329+00:00,2.4643786824435443,2.5300240878312703,Low-Priority,0.379668,0.34402573,21937,Prepare colored drawings of landscape and interior designs for presentation to client.
getcho,0,Coordinate last-mile delivery of high-value goods through a reliable carrier network,5,0,2026-04-24T17:36:45.246329+00:00,2.990335030553474,3.4810189777813196,Low-Priority,0.49616215,0.44813696,15680,Select transportation routes to maximize economy by combining shipments or consolidating warehousing and distribution.
getcho,1,Monitor delivery status in real time and detect failures or exceptions automatically,5,0,2026-04-24T17:36:45.246329+00:00,3.2834412890244886,3.552122262748823,Green,0.5952575,0.50321996,1148,"Monitor shipments to ensure that goods come in on time, and resolve problems related to undelivered goods."
getcho,2,Reroute or reassign deliveries when carrier failures or delays are detected,4,0,2026-04-24T17:36:45.246329+00:00,2.957527514105987,3.62589179937312,Red,0.51953924,0.4844435,1148,"Monitor shipments to ensure that goods come in on time, and resolve problems related to undelivered goods."
getcho,3,Provide delivery reliability guarantees on top of underlying variable carrier fleets,4,0,2026-04-24T17:36:45.246329+00:00,2.6396099939998,3.669472526367647,Red,0.45296782,0.4237484,1026,Analyze market and delivery systems to assess present and future material availability.
getcho,4,Notify senders and recipients of delivery status changes and estimated arrival times,3,0,2026-04-24T17:36:45.246329+00:00,3.067884352544532,4.635702497257508,Green,0.5450132,0.46327677,15709,Deliver e-mail confirmation of completed transactions and shipment.
darkgrade,0,Interface image sensor data directly with large language models for scene understanding,5,0,2026-04-24T17:36:45.246329+00:00,3.460456057904236,4.091176745747116,Green,0.3522875,0.3289211,20560,Write photograph captions.
darkgrade,1,Interpret real-world visual environments using AI models connected to camera hardware,5,0,2026-04-24T17:36:45.246329+00:00,2.700235850200897,3.0787879483794005,Low-Priority,0.4275585,0.3685515,3897,Observe pictures through monitors and direct camera and video staff concerning shading and composition.
darkgrade,2,Translate raw sensor inputs into structured semantic descriptions for downstream applications,4,0,2026-04-24T17:36:45.246329+00:00,2.78359487742879,3.670001663742588,Red,0.37750506,0.35362297,1313,"Write and code logical and physical database descriptions and specify identifiers of database to management system, or direct others in coding descriptions."
darkgrade,3,Enable natural language queries about camera-captured visual environments and objects,4,0,2026-04-24T17:36:45.246329+00:00,2.8130152976411327,3.167443477410272,Low-Priority,0.45219225,0.37908942,20560,Write photograph captions.
openfunnel,0,Monitor target market companies for custom behavioral and intent-based trigger events,5,0,2026-04-24T17:36:45.246329+00:00,3.555775710857683,3.5385334840846783,Green,0.503722,0.45735893,23193,Monitor markets or positions.
openfunnel,1,Surface time-sensitive prospect signals such as pricing changes or technology migrations,5,0,2026-04-24T17:36:45.246329+00:00,3.360736852962236,4.0023068420197285,Green,0.47707465,0.420456,23208,"Track and analyze factors that affect price movement, such as trade policies, weather conditions, political developments, or supply and demand changes."
openfunnel,2,Search for companies matching specific pain-point or behavioral criteria across the web,4,0,2026-04-24T17:36:45.246329+00:00,3.673674827331112,3.7563650163241027,Green,0.4562214,0.43547192,15721,"Investigate products or markets to determine areas for opportunity or viability for merchandising specific products, using online or offline sources."
openfunnel,3,Deliver daily actionable prospect insights based on continuously monitored market signals,4,0,2026-04-24T17:36:45.246329+00:00,3.3990089898299733,3.7643422764569068,Green,0.48550516,0.46213856,23193,Monitor markets or positions.
openfunnel,4,Identify the right moment to contact prospects based on detected buying intent signals,3,0,2026-04-24T17:36:45.246329+00:00,3.254303757586878,4.181166330426577,Green,0.5134682,0.42463985,4622,"Record names, addresses, purchases, and reactions of prospects contacted."
healthspark,0,Manage insurance credentialing and billing processes for independent physical therapy practices,5,0,2026-04-24T17:36:45.246329+00:00,2.634092135734321,3.448214074192379,Low-Priority,0.5657119,0.47770023,23319,Process and record new insurance policies and claims.
healthspark,1,Automate clinical documentation and session notes for physical therapy providers,5,0,2026-04-24T17:36:45.246329+00:00,2.823610903619921,3.586087174683761,Red,0.54617167,0.5219076,16284,"Process clinical data, including receipt, entry, verification, or filing of information."
healthspark,2,Handle patient onboarding and scheduling for independent physical therapy practices,4,0,2026-04-24T17:36:45.246329+00:00,3.499024587054589,3.271227812003741,Yellow,0.50280863,0.4501439,15612,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols."
healthspark,3,Submit and track insurance claims for physical therapy services rendered,4,0,2026-04-24T17:36:45.246329+00:00,2.6792698312512067,3.3612709112656813,Low-Priority,0.63277346,0.56139463,23319,Process and record new insurance policies and claims.
healthspark,4,Provide administrative workflow tools to help physical therapists launch independent practices,3,0,2026-04-24T17:36:45.246329+00:00,3.0330913879393644,2.5339611327809624,Yellow,0.4531771,0.44649848,22086,"Provide technical support to other employees regarding mechanical design, fabrication, testing, or documentation."
rulebase,0,Review customer interaction transcripts in real time to detect compliance violations,5,0,2026-04-24T17:36:45.246329+00:00,3.1111994415749313,3.9259913209606485,Green,0.51491964,0.4894312,16968,Review data from contract laboratories to ensure accuracy and regulatory compliance.
rulebase,1,"Flag high-risk issues and quality gaps across calls, chats, and emails automatically",5,0,2026-04-24T17:36:45.246329+00:00,3.2372738892459796,3.277531801797885,Yellow,0.38484147,0.37070495,2706,"Record details of calls, dispatches, and messages."
rulebase,2,Route flagged compliance issues to appropriate team members for resolution,4,0,2026-04-24T17:36:45.246329+00:00,3.3158742613840366,3.329902233133732,Yellow,0.3943596,0.35621637,14758,"Correct testing-identified problems, or recommend actions for their resolution."
rulebase,3,Generate quality assurance reports summarizing compliance performance across customer interactions,4,0,2026-04-24T17:36:45.246329+00:00,3.1849348963517374,3.305258795453233,Yellow,0.54123724,0.5317694,14658,"Identify program deviance from standards, and suggest modifications to ensure compliance."
rulebase,4,Reduce customer escalation rates by identifying risky interactions before they escalate,3,0,2026-04-24T17:36:45.246329+00:00,3.0876195495861034,3.749215291877133,Green,0.49000153,0.43944582,16151,Perform risk assessments to develop response strategies.
afternoon-co,0,Automate bookkeeping by integrating with sales channels and inventory management systems,5,0,2026-04-24T17:36:45.246329+00:00,2.7760869157880217,3.440888557576289,Low-Priority,0.58103365,0.5611343,1151,"Maintain and review computerized or manual records of purchased items, costs, deliveries, product performance, and inventories."
afternoon-co,1,Categorize and reconcile financial transactions for ecommerce and startup businesses,5,0,2026-04-24T17:36:45.246329+00:00,3.1096846879228095,3.99080381390497,Green,0.6047649,0.56216425,2503,Reconcile records of bank transactions.
afternoon-co,2,Prepare and file tax returns including sales tax across multiple jurisdictions,4,0,2026-04-24T17:36:45.246329+00:00,3.5496336576582848,4.1005838087863244,Green,0.5322525,0.46793333,7359,Prepare or assist in preparing simple to complex tax returns for individuals or small businesses.
afternoon-co,3,Generate real-time financial metrics and dashboards for founder decision-making,4,0,2026-04-24T17:36:45.246329+00:00,3.0032204298559697,3.9931716637708456,Green,0.508292,0.49637932,16150,"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders."
afternoon-co,4,Manage multi-channel sales tax compliance across ecommerce platforms and states,3,0,2026-04-24T17:36:45.246329+00:00,3.266910419518639,4.401093749323244,Green,0.425868,0.39633313,1035,Administer online purchasing systems.
lightscreen-ai,0,Conduct full-length technical interviews with candidates using AI voice and video,5,0,2026-04-24T17:36:45.246329+00:00,2.696094377953302,2.837706414126733,Low-Priority,0.34670943,0.33824092,1002,"Develop, administer, and evaluate applicant tests."
lightscreen-ai,1,Evaluate candidate responses against customizable rubrics and company-defined criteria,5,0,2026-04-24T17:36:45.246329+00:00,3.3167096861442227,3.9850802548845827,Green,0.47708902,0.44408217,22658,Conduct research and interviews to determine which of a product's selling features should be promoted.
lightscreen-ai,2,Detect cheating attempts during AI-administered interviews using multimodal signals,4,0,2026-04-24T17:36:45.246329+00:00,2.891948010586019,3.0640389491106057,Low-Priority,0.3148682,0.30200234,19003,Analyze and report computer network security breaches or attempted breaches.
lightscreen-ai,3,Generate structured candidate evaluation reports for recruiter review after each interview,4,0,2026-04-24T17:36:45.246329+00:00,3.210988454453801,3.6909051805331035,Green,0.4373714,0.41540486,1002,"Develop, administer, and evaluate applicant tests."
lightscreen-ai,4,Customize interview questions and evaluation criteria to match specific role requirements,3,0,2026-04-24T17:36:45.246329+00:00,3.057552882532584,3.4061239654140185,Yellow,0.44216046,0.4195772,1002,"Develop, administer, and evaluate applicant tests."
raycaster,0,Draft regulated life sciences documents such as regulatory submissions and reports,5,0,2026-04-24T17:36:45.246329+00:00,2.7255691194966847,3.3477335423965005,Low-Priority,0.5824325,0.54791576,18022,"Direct the preparation and submission of regulatory agency applications, reports, or correspondence."
raycaster,1,Review and edit compliance documents with full source traceability and audit trails,5,0,2026-04-24T17:36:45.246329+00:00,2.8898839291742755,4.277920903588923,Red,0.59926754,0.5647469,15414,Review quality documentation necessary for regulatory submissions and inspections.
raycaster,2,Search and retrieve information across source documents for regulatory writing tasks,4,0,2026-04-24T17:36:45.246329+00:00,3.096002180806446,3.206323114397043,Yellow,0.55076975,0.4897461,18022,"Direct the preparation and submission of regulatory agency applications, reports, or correspondence."
raycaster,3,Maintain document version history and change tracking for regulated content workflows,4,0,2026-04-24T17:36:45.246329+00:00,2.8516867507772345,3.763083935440219,Red,0.5833479,0.49046642,3967,Maintain records and files of work and revisions.
raycaster,4,Accelerate submission preparation by automating repetitive document drafting tasks,3,0,2026-04-24T17:36:45.246329+00:00,2.967314324748841,2.8158537363676035,Low-Priority,0.52800953,0.4990913,295,"Mark up, paste, and complete layouts and write typography instructions to prepare materials for typesetting or printing."
supercontrast,0,Generate high-quality graphic design assets and visual content using AI models,5,0,2026-04-24T17:36:45.246329+00:00,2.63557442581126,3.100357955735243,Low-Priority,0.473578,0.4581583,16194,"Review or evaluate competitive products, film, music, television, and other art forms to generate new game design ideas."
supercontrast,1,Refine and iterate on design outputs based on user feedback and style preferences,5,0,2026-04-24T17:36:45.246329+00:00,2.81736507809424,3.0700730322678824,Low-Priority,0.46069112,0.43953666,16198,Provide feedback to designers and other colleagues regarding game design features.
supercontrast,2,"Produce brand-consistent visual assets for marketing, product, and creative teams",4,0,2026-04-24T17:36:45.246329+00:00,2.5022485799936525,2.860043497381428,Low-Priority,0.4692986,0.4499403,306,"Develop graphics and layouts for product illustrations, company logos, and Web sites."
supercontrast,3,Enable non-designers to create professional-grade visual content without design expertise,4,0,2026-04-24T17:36:45.246329+00:00,2.697586937805479,3.0681855863858525,Low-Priority,0.44194818,0.4239646,20488,"Create three-dimensional or interactive representations of designs, using computer-assisted design software."
revyl,0,Automatically detect and reproduce bugs in mobile applications before production release,5,0,2026-04-24T17:36:45.246329+00:00,3.335530010164223,4.009931171357347,Green,0.577286,0.4560352,14643,Monitor bug resolution efforts and track successes.
revyl,1,Triage identified bugs by severity and assign them to relevant engineering teams,5,0,2026-04-24T17:36:45.246329+00:00,3.3730419249987857,4.059650284968947,Green,0.6149472,0.50503117,14643,Monitor bug resolution efforts and track successes.
revyl,2,Generate AI-driven test cases to expand mobile application test coverage automatically,4,0,2026-04-24T17:36:45.246329+00:00,3.385502208672866,3.387757465275619,Yellow,0.47890556,0.42955703,14638,"Design test plans, scenarios, scripts, or procedures."
revyl,3,Monitor mobile app builds for regressions across platforms and device configurations,4,0,2026-04-24T17:36:45.246329+00:00,3.3953651788289556,3.519527544175368,Green,0.42102835,0.36133808,14643,Monitor bug resolution efforts and track successes.
revyl,4,Provide root cause analysis for detected mobile application failures and crashes,3,0,2026-04-24T17:36:45.246329+00:00,3.553778768954976,3.8705292360527275,Green,0.45848715,0.41658616,14643,Monitor bug resolution efforts and track successes.
vortexifyai,0,Deploy task-specific AI bots to automate supply chain operational workflows,5,0,2026-04-24T17:36:45.246329+00:00,2.988932520300463,3.3508033324695394,Low-Priority,0.4734729,0.42542848,15700,"Develop procedures for coordination of supply chain management with other functional areas, such as sales, marketing, finance, production, or quality assurance."
vortexifyai,1,Analyze large supply chain datasets to identify operational risks and opportunities,5,0,2026-04-24T17:36:45.246329+00:00,3.1386132800897526,3.1724311772027205,Yellow,0.60590976,0.55332315,20946,Monitor forecasts and quotas to identify changes and predict effects on supply chain activities.
